Nombre_2,Apellido_2,CUI_2,InstitucionBancaria_2,AbreviacionInstitucion_2,TipoCuenta_2,SaldoInicial_2,,,
Willie,Brahan,3601075148,Banco Promerica,Promerica,Monetaria en $,2527,,,
Puff,Huerta,4474118367,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Arleta,Umbert,1805028979,Banco Industrial,BI,Monetaria en $,0,,,
Tina,De Beauchemp,6668839878,Banco Industrial,BI,Ahorro,0,,,
Giordano,Rimington,270162925,Banco Industrial,BI,Ahorro,1250,,,
Morgun,Coots,6920115220,Banco Promerica,Promerica,Monetaria en $,0,,,
Hali,Peebles,1909436437,Banco de desarrollo rural,BANRURAL,Ahorro,0,,,
Phaidra,Thornthwaite,7422400781,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Giordano,Rimington,270162925,Banco G&T,G&T,Monetaria en $,0,,,
Esme,Seifenmacher,7341877243,Banco Industrial,BI,Ahorro,624,,,
Hali,Peebles,1909436437,Banco de desarrollo rural,BANRURAL,Ahorro,0,,,
Daffy,Marages,2720935689,Banco Promerica,Promerica,Monetaria en Q,1575,,,
Collie,Leatherland,3334586502,Banco Industrial,BI,Monetaria en Q,0,,,
Bobbette,Dutton,930849132,Banco G&T,G&T,Monetaria en $,0,,,
Ulla,Balloch,3278286464,Banco Promerica,Promerica,Monetaria en Q,0,,,
Reinwald,Raphael,3808552263,Banco Industrial,BI,Monetaria en Q,0,,,
Dahlia,Greiser,6310900986,Banco Industrial,BI,Monetaria en $,1258,,,
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4782,,,
Alfie,Castellaccio,2344960856,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Bobbette,Dutton,930849132,Banco Promerica,Promerica,Ahorro,761,,,
Willie,Brahan,3601075148,Banco Promerica,Promerica,Monetaria en $,2527,,,
Phaidra,Thornthwaite,7422400781,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Chrissy,Fells,1432225464,Banco Industrial,BI,Monetaria en $,0,,,
Nelia,Hathway,1962610551,Banco Industrial,BI,Monetaria en $,3149,,,
Bobbette,Dutton,930849132,Banco G&T,G&T,Monetaria en $,0,,,
Hali,Peebles,1909436437,Banco Industrial,BI,Monetaria en Q,3639,,,
Cully,Matyugin,7652775906,Banco Promerica,Promerica,Monetaria en Q,0,,,
Koressa,Knowler,7737952055,Banco G&T,G&T,Monetaria en $,0,,,
Kizzie,Pettman,6981272008,Banco Promerica,Promerica,Ahorro,1774,,,
Esme,Seifenmacher,7341877243,Banco Industrial,BI,Monetaria en $,0,,,
Elnore,Foy,6154977174,Banco Agromercantil,BAM,Ahorro,2257,,,
Luelle,Barenskie,8068530312,Banco G&T,G&T,Monetaria en Q,0,,,
Abigale,Crann,1187255777,Banco Industrial,BI,Ahorro,0,,,
Arleta,Umbert,1805028979,Banco Industrial,BI,Monetaria en $,0,,,
Alfie,Castellaccio,2344960856,Banco G&T,G&T,Monetaria en $,0,,,
Vassili,Drowsfield,3345353652,Banco Promerica,Promerica,Ahorro,1680,,,
Reinwald,Raphael,3808552263,Banco Industrial,BI,Monetaria en Q,0,,,
Hali,Peebles,1909436437,Banco Promerica,Promerica,Ahorro,3556,,,
Ulla,Balloch,3278286464,Banco Promerica,Promerica,Monetaria en Q,0,,,
Konstanze,Blood,7873382966,Banco Agromercantil,BAM,Monetaria en $,0,,,
Esme,Seifenmacher,7341877243,Banco Industrial,BI,Ahorro,624,,,
Deni,Tarn,6467582497,Banco G&T,G&T,Monetaria en Q,4105,,,
Raff,Meah,3693967563,Banco G&T,G&T,Monetaria en $,1225,,,
Nelia,Hathway,1962610551,Banco Promerica,Promerica,Monetaria en $,0,,,
Dahlia,Greiser,6310900986,Banco Industrial,BI,Monetaria en $,1258,,,
Alexander,Amor,7361225500,Banco Promerica,Promerica,Ahorro,0,,,
Morgun,Coots,6920115220,Banco G&T,G&T,Monetaria en $,0,,,
Bobbette,Dutton,930849132,Banco Promerica,Promerica,Ahorro,761,,,
Manuel,Gouldstone,2293547442,Banco Industrial,BI,Monetaria en $,0,,,
Inga,Cromleholme,3179095431,Banco Promerica,Promerica,Monetaria en $,0,,,
Manuel,Gouldstone,2293547442,Banco Industrial,BI,Monetaria en $,0,,,
Thoma,Kempster,7725887806,Banco Promerica,Promerica,Monetaria en $,3305,,,
Hali,Peebles,1909436437,Banco Industrial,BI,Ahorro,243,,,
Jarid,McEniry,7858016997,Banco de desarrollo rural,BANRURAL,Ahorro,4005,,,
Devin,Sheere,2286509069,Banco Agromercantil,BAM,Ahorro,3494,,,
Joelynn,De Gregoli,9835876975,Banco Promerica,Promerica,Ahorro,4350,,,
Collie,Leatherland,3334586502,Banco Industrial,BI,Monetaria en Q,0,,,
Kit,Tottman,445543914,Banco G&T,G&T,Monetaria en $,0,,,
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,1612,,,
Devin,Sheere,2286509069,Banco Industrial,BI,Monetaria en Q,1858,,,
Henriette,Stag,5203620156,Banco de desarrollo rural,BANRURAL,Monetaria en $,567,,,
Arlin,Bruckner,7819264039,Banco de desarrollo rural,BANRURAL,Monetaria en $,1663,,,
Koressa,Knowler,7737952055,Banco Industrial,BI,Monetaria en $,4003,,,
Nelia,Hathway,1962610551,Banco Industrial,BI,Monetaria en Q,0,,,
Willie,Brahan,3601075148,Banco Promerica,Promerica,Monetaria en $,2527,,,
Arleta,Umbert,1805028979,Banco Industrial,BI,Monetaria en $,0,,,
Jeanne,Ciottoi,3199681735,Banco Industrial,BI,Monetaria en Q,4642,,,
Arron,Dalziel,4113842388,Banco de desarrollo rural,BANRURAL,Monetaria en $,391,,,
Gearard,Laye,9158606432,Banco de desarrollo rural,BANRURAL,Monetaria en $,2879,,,
Joelynn,De Gregoli,9835876975,Banco Promerica,Promerica,Ahorro,4350,,,
Willie,Brahan,3601075148,Banco G&T,G&T,Monetaria en $,3085,,,
Deni,Tarn,6467582497,Banco de desarrollo rural,BANRURAL,Monetaria en $,964,,,
Horatia,Brumpton,1653130695,Banco G&T,G&T,Monetaria en Q,4437,,,
Gracia,Burchill,5981356200,Banco de desarrollo rural,BANRURAL,Monetaria en $,0,,,
Giordano,Rimington,270162925,Banco de desarrollo rural,BANRURAL,Ahorro,547,,,
Nelia,Hathway,1962610551,Banco G&T,G&T,Monetaria en Q,2131,,,
Koressa,Knowler,7737952055,Banco Promerica,Promerica,Ahorro,3065,,,
Phaidra,Thornthwaite,7422400781,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Alfie,Castellaccio,2344960856,Banco G&T,G&T,Monetaria en $,0,,,
Maggee,Shergold,6816494733,Banco Industrial,BI,Monetaria en Q,0,,,
Joelynn,De Gregoli,9835876975,Banco Industrial,BI,Monetaria en Q,1191,,,
Nelia,Hathway,1962610551,Banco Industrial,BI,Monetaria en $,3848,,,
Hali,Peebles,1909436437,Banco de desarrollo rural,BANRURAL,Ahorro,1818,,,
Boote,Pina,208181717,Banco Industrial,BI,Monetaria en Q,900,,,
Timmi,Hovie,5618537931,Banco Agromercantil,BAM,Ahorro,0,,,
Maggee,Shergold,6816494733,Banco Industrial,BI,Monetaria en Q,0,,,
Gracia,Burchill,5981356200,Banco de desarrollo rural,BANRURAL,Monetaria en $,0,,,
Alfie,Castellaccio,2344960856,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Abigale,Crann,1187255777,Banco Industrial,BI,Ahorro,0,,,
Jeanie,Badman,2320648240,Banco Agromercantil,BAM,Ahorro,1563,,,
Sascha,Kennedy,4464029000,Banco G&T,G&T,Monetaria en $,0,,,
Cully,Matyugin,7652775906,Banco Promerica,Promerica,Monetaria en Q,0,,,
Maggee,Shergold,6816494733,Banco Promerica,Promerica,Ahorro,3276,,,
Lauralee,Britnell,8712012858,Banco Industrial,BI,Monetaria en Q,0,,,
Chrissy,Fells,1432225464,Banco Industrial,BI,Monetaria en $,0,,,
Maressa,Delgadillo,3899636643,Banco Industrial,BI,Ahorro,0,,,
Jolie,Tollfree,4105124471,Banco G&T,G&T,Monetaria en $,0,,,
Bobbette,Dutton,930849132,Banco Industrial,BI,Ahorro,0,,,
Janith,Metheringham,6172401947,Banco Industrial,BI,Monetaria en $,0,,,
Koressa,Knowler,7737952055,Banco Promerica,Promerica,Ahorro,3065,,,
Devin,Sheere,2286509069,Banco Agromercantil,BAM,Ahorro,3494,,,
Janith,Metheringham,6172401947,Banco Industrial,BI,Monetaria en $,0,,,
Tripp,Ingree,3888897025,Banco Agromercantil,BAM,Ahorro,0,,,
Javier,Theodore,1485345081,Banco Industrial,BI,Monetaria en $,1602,,,
Neill,Esser,7964176803,Banco Industrial,BI,Monetaria en Q,1322,,,
Tripp,Ingree,3888897025,Banco Agromercantil,BAM,Ahorro,1610,,,
Daffy,Marages,2720935689,Banco Promerica,Promerica,Monetaria en Q,1575,,,
Reinwald,Raphael,3808552263,Banco Industrial,BI,Monetaria en Q,0,,,
Stormy,Mathieu,1952883946,Banco G&T,G&T,Monetaria en $,0,,,
Jeanie,Badman,2320648240,Banco G&T,G&T,Monetaria en Q,0,,,
Puff,Huerta,4474118367,Banco G&T,G&T,Monetaria en Q,0,,,
Daffy,Marages,2720935689,Banco G&T,G&T,Monetaria en Q,0,,,
Elnore,Foy,6154977174,Banco Agromercantil,BAM,Ahorro,2257,,,
Bobbette,Dutton,930849132,Banco Promerica,Promerica,Ahorro,761,,,
Hali,Peebles,1909436437,Banco Promerica,Promerica,Monetaria en $,0,,,
Luelle,Barenskie,8068530312,Banco G&T,G&T,Monetaria en Q,0,,,
Ulla,Balloch,3278286464,Banco Promerica,Promerica,Monetaria en Q,0,,,
Lauralee,Britnell,8712012858,Banco Industrial,BI,Monetaria en Q,0,,,
Janith,Metheringham,6172401947,Banco Industrial,BI,Monetaria en $,0,,,
Neill,Esser,7964176803,Banco Industrial,BI,Monetaria en Q,1322,,,
Ddene,Tant,2293083373,Banco de desarrollo rural,BANRURAL,Monetaria en $,0,,,
Cherry,Youtead,6393106875,Banco G&T,G&T,Monetaria en Q,1189,,,
Maggee,Shergold,6816494733,Banco Industrial,BI,Monetaria en Q,0,,,
Giordano,Rimington,270162925,Banco G&T,G&T,Monetaria en $,0,,,
Tina,De Beauchemp,6668839878,Banco Agromercantil,BAM,Ahorro,3027,,,
Maggee,Shergold,6816494733,Banco Industrial,BI,Monetaria en Q,0,,,
Tina,De Beauchemp,6668839878,Banco Agromercantil,BAM,Ahorro,315,,,
Sunny,Alvin,6456388384,Banco Promerica,Promerica,Monetaria en $,760,,,
Reinwald,Raphael,3808552263,Banco Industrial,BI,Monetaria en Q,0,,,
Arleta,Umbert,1805028979,Banco Promerica,Promerica,Monetaria en Q,305,,,
Arlin,Bruckner,7819264039,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Hali,Peebles,1909436437,Banco de desarrollo rural,BANRURAL,Ahorro,0,,,
Nelia,Hathway,1962610551,Banco Industrial,BI,Monetaria en $,3149,,,
Elnore,Foy,6154977174,Banco Agromercantil,BAM,Ahorro,2257,,,
Alexander,Amor,7361225500,Banco Promerica,Promerica,Ahorro,0,,,
Alexander,Amor,7361225500,Banco Promerica,Promerica,Ahorro,0,,,
Thoma,Kempster,7725887806,Banco Promerica,Promerica,Monetaria en $,3305,,,
Alfie,Castellaccio,2344960856,Banco de desarrollo rural,BANRURAL,Monetaria en $,0,,,
Ulla,Balloch,3278286464,Banco G&T,G&T,Monetaria en $,2162,,,
Ddene,Tant,2293083373,Banco de desarrollo rural,BANRURAL,Monetaria en $,0,,,
Tina,De Beauchemp,6668839878,Banco de desarrollo rural,BANRURAL,Monetaria en $,3942,,,
Alfie,Castellaccio,2344960856,Banco Agromercantil,BAM,Monetaria en Q,0,,,
Vassili,Drowsfield,3345353652,Banco G&T,G&T,Monetaria en $,446,,,
Sascha,Kennedy,4464029000,Banco G&T,G&T,Monetaria en $,0,,,
Jeanne,Ciottoi,3199681735,Banco de desarrollo rural,BANRURAL,Monetaria en $,2743,,,
Riva,Gaven,2897073799,Banco G&T,G&T,Monetaria en Q,2316,,,
Alexander,Amor,7361225500,Banco Promerica,Promerica,Ahorro,0,,,
Esme,Seifenmacher,7341877243,Banco Promerica,Promerica,Monetaria en Q,1522,,,
Abigale,Crann,1187255777,Banco Industrial,BI,Ahorro,0,,,
Henriette,Stag,5203620156,Banco de desarrollo rural,BANRURAL,Monetaria en $,0,,,
Konstanze,Blood,7873382966,Banco Agromercantil,BAM,Monetaria en $,0,,,
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4782,,,
Carmita,Hiscoke,8640571546,Banco Agromercantil,BAM,Monetaria en Q,2277,,,
Deni,Tarn,6467582497,Banco Agromercantil,BAM,Monetaria en Q,0,,,
Janith,Metheringham,6172401947,Banco Industrial,BI,Monetaria en $,0,,,
Ty,Kittow,1976810418,Banco G&T,G&T,Monetaria en $,0,,,
Phaidra,Thornthwaite,7422400781,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Vassili,Drowsfield,3345353652,Banco G&T,G&T,Monetaria en $,446,,,
Joelynn,De Gregoli,9835876975,Banco G&T,G&T,Monetaria en Q,3214,,,
Abigale,Crann,1187255777,Banco Agromercantil,BAM,Monetaria en $,0,,,
Kizzie,Pettman,6981272008,Banco Industrial,BI,Ahorro,0,,,
Konstanze,Blood,7873382966,Banco Agromercantil,BAM,Monetaria en $,0,,,
Koressa,Knowler,7737952055,Banco de desarrollo rural,BANRURAL,Monetaria en $,4560,,,
Dale,Goslin,4243293546,Banco Promerica,Promerica,Ahorro,0,,,
Sascha,Kennedy,4464029000,Banco Promerica,Promerica,Ahorro,0,,,
